sol_index,Water,Area,Production,Target Achivement %,Normal Achivement %,solution target Percentage,city skip
2,20163015895.37,5005917.98,43953107.96,92.08,92.31,1.01,4
22,20277254010.32,5035250.36,44258185.72,91.7,92.31,1.02,4
20,19496981248.24,4811033.31,43770791.4,91.7,92.31,1.02,2
21,19588823528.72,4760510.64,43680126.56,91.55,92.31,1.02,3
60,19970680372.99,4875919.68,44573150.92,91.42,92.31,1.04,2
40,19729991916.34,4843476.49,44173612.66,91.41,92.31,1.03,2
80,20219522021.63,4908362.86,44970747.19,90.84,92.31,1.05,2
61,19806646433.49,4795262.56,44744803.87,90.83,92.31,1.04,3
41,19730403137.91,4781107.95,44435502.66,90.74,92.31,1.03,3
81,19883502971.33,4809417.16,45052407.09,89.74,92.31,1.05,3
